AdultID,EggID,FMass,MMass,Genetic,Order,Rearing,Sex,Treatment,DayM,Mass,DayT,Tarsus,Head,Body
3591,9_10,16.71,13.71,9,10,9,F,cont,2,1.9,2,6.10,NA,NA
3591,9_10,16.71,13.71,9,10,9,F,cont,5,4.29,5,9.23,NA,NA
3591,9_10,16.71,13.71,9,10,9,F,cont,10,8.02,10,15.02,NA,NA
3591,9_10,16.71,13.71,9,10,9,F,cont,16,11.82,30,15.9,NA,NA
3591,9_10,16.71,13.71,9,10,9,F,cont,30,13.61,60,16.3,NA,NA
3591,9_10,16.71,13.71,9,10,9,F,cont,40,13.75,NA,NA,NA,NA
3591,9_10,16.71,13.71,9,10,9,F,cont,60,14.48,NA,NA,NA,NA
3591,9_10,16.71,13.71,9,10,9,F,cont,90,14.36,NA,NA,NA,NA
3592,9_9,16.71,13.71,9,9,9,M,low,0,0.9625,0,4.20,6.64,17.01
3592,9_9,16.71,13.71,9,9,9,M,low,2,1.55,2,5.65,NA,NA
3592,9_9,16.71,13.71,9,9,9,M,low,5,3.7,5,8.50,NA,NA
3592,9_9,16.71,13.71,9,9,9,M,low,10,9.12,10,14.58,NA,NA
3592,9_9,16.71,13.71,9,9,9,M,low,16,12.35,30,16,NA,NA
3592,9_9,16.71,13.71,9,9,9,M,low,30,15.15,60,16.6,NA,NA
3592,9_9,16.71,13.71,9,9,9,M,low,40,14.79,NA,NA,NA,NA
3592,9_9,16.71,13.71,9,9,9,M,low,60,15.57,NA,NA,NA,NA
3592,9_9,16.71,13.71,9,9,9,M,low,90,15.56,NA,NA,NA,NA
3593,2_2,17.52,18.08,2,2,22,M,cont,0,0.8593,0,4.21,6.55,17.37
3593,2_2,17.52,18.08,2,2,22,M,cont,2,1.36,2,5.09,NA,NA
3593,2_2,17.52,18.08,2,2,22,M,cont,5,3.33,5,7.84,NA,NA
3593,2_2,17.52,18.08,2,2,22,M,cont,10,10.12,10,NA,NA,NA
3593,2_2,17.52,18.08,2,2,22,M,cont,16,NA,30,NA,NA,NA
3593,2_2,17.52,18.08,2,2,22,M,cont,30,15.13,60,NA,NA,NA
3593,2_2,17.52,18.08,2,2,22,M,cont,40,NA,NA,NA,NA,NA
3593,2_2,17.52,18.08,2,2,22,M,cont,60,14.87,NA,NA,NA,NA
3593,2_2,17.52,18.08,2,2,22,M,cont,90,14.96,NA,NA,NA,NA
3594,13_2,14.53,14.96,13,2,22,F,per,0,0.8452,0,4.07,6.44,15.74
3594,13_2,14.53,14.96,13,2,22,F,per,2,0.98,2,4.12,NA,NA
3594,13_2,14.53,14.96,13,2,22,F,per,5,2.37,5,4.71,NA,NA
3594,13_2,14.53,14.96,13,2,22,F,per,10,8.79,10,13.91,NA,NA
3594,13_2,14.53,14.96,13,2,22,F,per,16,NA,30,NA,NA,NA
3594,13_2,14.53,14.96,13,2,22,F,per,30,14.71,60,NA,NA,NA
3594,13_2,14.53,14.96,13,2,22,F,per,40,NA,NA,NA,NA,NA
3594,13_2,14.53,14.96,13,2,22,F,per,60,14.99,NA,NA,NA,NA
3594,13_2,14.53,14.96,13,2,22,F,per,90,16.21,NA,NA,NA,NA
3595,9_4,16.6,14.13,9,4,22,F,cont,0,1.014,0,NA,NA,NA
3595,9_4,16.6,14.13,9,4,22,F,cont,2,1.26,2,5.36,NA,NA
3595,9_4,16.6,14.13,9,4,22,F,cont,5,3.27,5,7.75,NA,NA
3595,9_4,16.6,14.13,9,4,22,F,cont,10,9.78,10,14.96,NA,NA
