AdultID,Sex,Treatment,Genetic ,Rearing,Day,Age,Timepoint,CORT,Integral,Plate,Mass,Free_Hormone,Per_CBG_Sat,CBG_Conc
3607,M,low,13,10,90,90,Baseline,7.67844,735.26022,5,13.1,NA,NA,NA
3607,M,low,13,10,90,90,Stress,45.07896,735.26022,5,13.1,NA,NA,NA
3608,NA,per,29,10,16,18,Baseline,1.34988,NA,16,NA,NA,NA,NA
3608,NA,per,29,10,16,NA,Stress,NA,NA,16,NA,NA,NA,NA
3608,NA,per,29,10,40,NA,Baseline,NA,NA,16,NA,NA,NA,NA
3608,NA,per,29,10,40,NA,Stress,NA,NA,16,NA,NA,NA,NA
3608,NA,per,29,10,90,NA,Baseline,NA,NA,16,NA,NA,NA,NA
3608,NA,per,29,10,90,NA,Stress,NA,NA,16,NA,NA,NA,NA
3610,F,cont,31,28,16,17,Baseline,7.81663,147.06129,9,NA,0.019232207,1.28,147.4165137
3610,F,cont,31,28,16,17,Stress,1.33977,147.06129,9,NA,0.263717817,15.12,299.9171107
3610,F,cont,31,28,40,40,Baseline,21.32135,479.256468,9,12.02,NA,NA,NA
3610,F,cont,31,28,40,40,Stress,9.441051331,479.256468,9,12.02,NA,NA,NA
3610,F,cont,31,28,90,91,Baseline,13.07334,334.71072,9,13.15,0.265492923,15.21,165.5088194
3610,F,cont,31,28,90,91,Stress,8.81486,334.71072,9,13.15,NA,NA,NA
3611,M,low,28,28,16,16,Baseline,30.39335,587.66766,3,NA,NA,NA,NA
3611,M,low,28,28,16,16,Stress,6.38351,587.66766,3,NA,NA,NA,NA
3611,M,low,28,28,40,39,Baseline,14.86533,267.488145,3,13.45,NA,NA,NA
3611,M,low,28,28,40,39,Stress,1.6452,267.488145,3,13.45,NA,NA,NA
3611,M,low,28,28,90,90,Baseline,7.26057,254.97693,3,14.24,NA,NA,NA
3611,M,low,28,28,90,90,Stress,10.01315,254.97693,3,14.24,NA,NA,NA
3612,F,per,28,29,16,17,Baseline,2.67646,398.416845,11,11.95,0.04021491,2.645343747,290.4747779
3612,F,per,28,29,16,17,Stress,26.24113,398.416845,11,11.95,0.789207176,34.7789829,215.4829253
3612,F,per,28,29,40,41,Baseline,0.45821,290.871465,11,12.81,NA,NA,NA
3612,F,per,28,29,40,41,Stress,20.986,290.871465,11,12.81,NA,NA,NA
