EggID,AdultID,Survival,NestID,Order,Round,DevelTime,Treatment,Timepoint,Mass
7_4,3650,1,7,4,2,15,low,Hatch,0.7834
25_3,3651,1,25,3,2,14,low,Lay,1.2336
25_3,3651,1,25,3,2,14,low,Eighty,1.1391
25_3,3651,1,25,3,2,14,low,Hatch,0.8745
7_5,3652,1,7,5,2,14,cont,Lay,1.0478
7_5,3652,1,7,5,2,14,cont,Eighty,0.8967
7_5,3652,1,7,5,2,14,cont,Hatch,0.6502
25_4,3653,1,25,4,2,13,cont,Lay,1.4115
25_4,3653,1,25,4,2,13,cont,Eighty,1.2605
25_4,3653,1,25,4,2,13,cont,Hatch,1.0226
31_11,3654,1,31,11,2,15,per,Lay,1.1851
31_11,3654,1,31,11,2,15,per,Eighty,0.9535
31_11,3654,1,31,11,2,15,per,Hatch,0.7287
4_20,3655,1,4,20,2,14,cont,Lay,1.2219
4_20,3655,1,4,20,2,14,cont,Eighty,1.0826
4_20,3655,1,4,20,2,14,cont,Hatch,0.8632
4_22,3656,1,4,22,2,15,low,Lay,1.2242
4_22,3656,1,4,22,2,15,low,Eighty,1.1008
4_22,3656,1,4,22,2,15,low,Hatch,0.8367
32_18,3657,1,32,18,2,14,low,Lay,1.1762
32_18,3657,1,32,18,2,14,low,Eighty,1.0841
32_18,3657,1,32,18,2,14,low,Hatch,0.8768
32_17,3658,1,32,17,2,16,per,Lay,1.1997
32_17,3658,1,32,17,2,16,per,Eighty,1.1212
32_17,3658,1,32,17,2,16,per,Hatch,0.8449
32_19,3659,1,32,19,2,14,cont,Lay,1.1896
32_19,3659,1,32,19,2,14,cont,Eighty,0.9967
32_19,3659,1,32,19,2,14,cont,Hatch,0.8032
17_24,3660,1,17,24,2,14,cont,Lay,1.2957
17_24,3660,1,17,24,2,14,cont,Eighty,1.146
17_24,3660,1,17,24,2,14,cont,Hatch,0.9413
17_25,3661,1,17,25,2,15,per,Lay,1.2482
17_25,3661,1,17,25,2,15,per,Eighty,1.1564
17_25,3661,1,17,25,2,15,per,Hatch,0.9022
4_25,3663,1,4,25,2,15,low,Lay,1.3062
4_25,3663,1,4,25,2,15,low,Eighty,1.1934
4_25,3663,1,4,25,2,15,low,Hatch,0.9688
17_26,3664,1,17,26,2,15,low,Lay,1.3004
17_26,3664,1,17,26,2,15,low,Eighty,1.2002
17_26,3664,1,17,26,2,15,low,Hatch,0.9397
17_28,3665,1,17,28,2,15,per,Lay,1.3354
17_28,3665,1,17,28,2,15,per,Eighty,1.2219
17_28,3665,1,17,28,2,15,per,Hatch,0.9486
11_9,3666,1,11,9,2,15,low,Lay,1.2825
11_9,3666,1,11,9,2,15,low,Eighty,1.1835
11_9,3666,1,11,9,2,15,low,Hatch,0.9395
11_8,3667,1,11,8,2,15,per,Lay,1.2577
11_8,3667,1,11,8,2,15,per,Eighty,0.8731
11_8,3667,1,11,8,2,15,per,Hatch,0.7026
16_18,3668,1,16,18,2,15,per,Lay,1.0075
16_18,3668,1,16,18,2,15,per,Eighty,0.9171
16_18,3668,1,16,18,2,15,per,Hatch,0.7544
11_10,3669,1,11,10,2,14,cont,Lay,1.2664
11_10,3669,1,11,10,2,14,cont,Eighty,1.1866
11_10,3669,1,11,10,2,14,cont,Hatch,0.9195
11_11,3670,1,11,11,2,15,per,Lay,1.2929
11_11,3670,1,11,11,2,15,per,Eighty,1.1677
11_11,3670,1,11,11,2,15,per,Hatch,0.9262
9_13,3671,1,9,13,2,15,low,Lay,1.3004
9_13,3671,1,9,13,2,15,low,Eighty,1.2218
9_13,3671,1,9,13,2,15,low,Hatch,0.9536
6_12,3672,1,6,12,2,15,per,Lay,1.0135
6_12,3672,1,6,12,2,15,per,Eighty,0.9388
6_12,3672,1,6,12,2,15,per,Hatch,0.7671
6_13,3673,1,6,13,2,15,low,Lay,1.0987
6_13,3673,1,6,13,2,15,low,Eighty,1.0312
6_13,3673,1,6,13,2,15,low,Hatch,0.8495
9_15,3674,1,9,15,2,14,per,Lay,1.094
9_15,3674,1,9,15,2,14,per,Eighty,0.994
9_15,3674,1,9,15,2,14,per,Hatch,0.8453
6_14,3676,1,6,14,2,15,cont,Lay,1.063
6_14,3676,1,6,14,2,15,cont,Eighty,0.9999
6_14,3676,1,6,14,2,15,cont,Hatch,0.7305
6_15,3677,1,6,15,2,15,per,Lay,1.2462
6_15,3677,1,6,15,2,15,per,Eighty,1.1719
6_15,3677,1,6,15,2,15,per,Hatch,0.9145
9_16,3678,1,9,16,2,16,low,Lay,1.1046
9_16,3678,1,9,16,2,16,low,Eighty,1.0222
9_16,3678,1,9,16,2,16,low,Hatch,0.738
